kind	entry	entry_rank	other	other_rank	detail
relemmatize	atraído	5269	atrair	1650	atraído lemmatizes to atrair
inflected	editora	5276	editor	4254	editora is a regular inflection of editor
diacritic	pêlo	5327	pelo	539	both fold to 'pelo'
relemmatize	educado	5328	educar	3241	educado lemmatizes to educar
inflected	vê-las	5330	vê-lo	868	vê-las is a regular inflection of vê-lo
relemmatize	terminado	5338	terminar	490	terminado lemmatizes to terminar
relemmatize	tramado	5339	tramar	2013	tramado lemmatizes to tramar
relemmatize	infectado	5398	infectar	9873	infectado lemmatizes to infectar
relemmatize	pila	5430	pilar	2094	pila lemmatizes to pilar
inflected	zombies	5432	zombie	5440	zombies is a regular inflection of zombie
relemmatize	zombies	5432	zombie	5440	zombies lemmatizes to zombie
inflected	borda	5441	bordo	1510	borda is a regular inflection of bordo
relemmatize	envergonhado	5457	envergonhar	2362	envergonhado lemmatizes to envergonhar
relemmatize	coberto	5462	cobrir	1068	coberto lemmatizes to cobrir
relemmatize	irritado	5488	irritar	1827	irritado lemmatizes to irritar
relemmatize	causa	5494	causar	296	causa lemmatizes to causar
diacritic	flórido	5504	florido	3547	both fold to 'florido'
inflected	joga	5515	jogo	353	joga is a regular inflection of jogo
relemmatize	joga	5515	jogar	452	joga lemmatizes to jogar
inflected	projectos	5538	projecto	1666	projectos is a regular inflection of projecto
relemmatize	projectos	5538	projecto	1666	projectos lemmatizes to projecto
inflected	rins	5539	rim	4993	rins is a regular inflection of rim
inflected	dá-lhes	5544	dá-lhe	1525	dá-lhes is a regular inflection of dá-lhe
relemmatize	dá-lhes	5544	dá-lhe	1525	dá-lhes lemmatizes to dá-lhe
inflected	maldita	5548	maldito	1268	maldita is a regular inflection of maldito
relemmatize	maldita	5548	maldito	1268	maldita lemmatizes to maldito
relemmatize	apropriado	5553	apropriar	3695	apropriado lemmatizes to apropriar
relemmatize	guardado	5556	guardar	454	guardado lemmatizes to guardar
inflected	afecta	5558	afecto	6751	afecta is a regular inflection of afecto
relemmatize	afecta	5558	afectar	5108	afecta lemmatizes to afectar
relemmatize	procurado	5563	procurar	207	procurado lemmatizes to procurar
relemmatize	identificado	5569	identificar	1226	identificado lemmatizes to identificar
relemmatize	são	5590	ser	2	são lemmatizes to ser
inflected	ria	5606	rio	5783	ria is a regular inflection of rio
relemmatize	pendurado	5610	pendurar	2522	pendurado lemmatizes to pendurar
relemmatize	pomo	5614	pôr	294	pomo lemmatizes to pôr
diacritic	tao	5639	tão	124	both fold to 'tao'
relemmatize	quadrado	5644	quadrar	6428	quadrado lemmatizes to quadrar
inflected	calma	5646	calmo	1839	calma is a regular inflection of calmo
relemmatize	calma	5646	calmar	400	calma lemmatizes to calmar
inflected	activa	5664	activo	4048	activa is a regular inflection of activo
relemmatize	activa	5664	activo	4048	activa lemmatizes to activo
relemmatize	activado	5668	activar	4378	activado lemmatizes to activar
inflected	campa	5672	campo	656	campa is a regular inflection of campo
relemmatize	apresentado	5675	apresentar	610	apresentado lemmatizes to apresentar
inflected	clara	5680	claro	156	clara is a regular inflection of claro
relemmatize	clara	5680	claro	156	clara lemmatizes to claro
inflected	aspectos	5695	aspecto	1639	aspectos is a regular inflection of aspecto
relemmatize	aspectos	5695	aspecto	1639	aspectos lemmatizes to aspecto
relemmatize	nevado	5698	nevar	6843	nevado lemmatizes to nevar
relemmatize	danificado	5701	danificar	4272	danificado lemmatizes to danificar
inflected	apanha	5720	apanho	2893	apanha is a regular inflection of apanho
relemmatize	apanha	5720	apanhar	223	apanha lemmatizes to apanhar
relemmatize	deva	5725	dever	57	deva lemmatizes to dever
relemmatize	encurralado	5726	encurralar	4687	encurralado lemmatizes to encurralar
diacritic	mae	5743	mãe	127	both fold to 'mae'
relemmatize	associado	5757	associar	3694	associado lemmatizes to associar
relemmatize	combate	5766	combater	880	combate lemmatizes to combater
relemmatize	rio	5783	rir	641	rio lemmatizes to rir
relemmatize	esfomeado	5791	esfomear	5565	esfomeado lemmatizes to esfomear
relemmatize	busca	5805	buscar	313	busca lemmatizes to buscar
relemmatize	cumprido	5840	cumprir	1049	cumprido lemmatizes to cumprir
inflected	passada	5842	passado	956	passada is a regular inflection of passado
relemmatize	passada	5842	passado	956	passada lemmatizes to passado
diacritic	ninguem	5849	ninguém	168	both fold to 'ninguem'
relemmatize	cria	5869	criar	494	cria lemmatizes to criar
relemmatize	formiga	5870	formigar	9226	formiga lemmatizes to formigar
relemmatize	agulha	5880	agulhar	3828	agulha lemmatizes to agulhar
inflected	armada	5917	armado	2124	armada is a regular inflection of armado
relemmatize	armada	5917	armado	2124	armada lemmatizes to armado
diacritic	forcar	5930	forçar	1605	both fold to 'forcar'
inflected	vi-os	5932	vi-o	2307	vi-os is a regular inflection of vi-o
relemmatize	vi-os	5932	vi-o	2307	vi-os lemmatizes to vi-o
relemmatize	dedicado	5966	dedicar	2286	dedicado lemmatizes to dedicar
relemmatize	disparado	5989	disparar	531	disparado lemmatizes to disparar
inflected	tesoura	5994	tesouro	1943	tesoura is a regular inflection of tesouro
relemmatize	concentrado	6010	concentrar	1195	concentrado lemmatizes to concentrar
inflected	drones	6011	drone	6164	drones is a regular inflection of drone
diacritic	entao	6015	então	67	both fold to 'entao'
relemmatize	chegado	6021	chegar	129	chegado lemmatizes to chegar
relemmatize	honrado	6041	honrar	2439	honrado lemmatizes to honrar
inflected	namorada	6042	namorado	797	namorada is a regular inflection of namorado
relemmatize	namorada	6042	namorado	797	namorada lemmatizes to namorado
diacritic	sao	6046	são	5590	both fold to 'sao'
relemmatize	granada	6068	granar	4489	granada lemmatizes to granar
relemmatize	amarrado	6100	amarrar	2456	amarrado lemmatizes to amarrar
relemmatize	encerrado	6101	encerrar	2473	encerrado lemmatizes to encerrar
relemmatize	estragado	6105	estragar	929	estragado lemmatizes to estragar
relemmatize	tarado	6106	tarar	3679	tarado lemmatizes to tarar
relemmatize	rodeado	6111	rodear	3596	rodeado lemmatizes to rodear
relemmatize	amaldiçoado	6134	amaldiçoar	3893	amaldiçoado lemmatizes to amaldiçoar
inflected	alternativa	6139	alternativo	1941	alternativa is a regular inflection of alternativo
relemmatize	alternativa	6139	alternativo	1941	alternativa lemmatizes to alternativo
relemmatize	aprovado	6141	aprovar	2204	aprovado lemmatizes to aprovar
relemmatize	muralha	6157	muralhar	4167	muralha lemmatizes to muralhar
relemmatize	abra	6181	abrir	283	abra lemmatizes to abrir
inflected	noutras	6186	noutro	1962	noutras is a regular inflection of noutro
relemmatize	agitado	6189	agitar	3524	agitado lemmatizes to agitar
inflected	poça	6200	poço	2805	poça is a regular inflection of poço
relemmatize	esmagado	6224	esmagar	2397	esmagado lemmatizes to esmagar
relemmatize	organizado	6235	organizar	1717	organizado lemmatizes to organizar
diacritic	possivel	6247	possível	436	both fold to 'possivel'
relemmatize	divorciado	6249	divorciar	2826	divorciado lemmatizes to divorciar
inflected	voces	6259	voce	2227	voces is a regular inflection of voce
relemmatize	picado	6269	picar	3802	picado lemmatizes to picar
diacritic	maca	6270	maçã	2904	both fold to 'maca'
inflected	teta	6275	teto	6287	teta is a regular inflection of teto
relemmatize	lançado	6278	lançar	1124	lançado lemmatizes to lançar
relemmatize	recompensa	6280	recompensar	2045	recompensa lemmatizes to recompensar
inflected	pêlos	6305	pêlo	5327	pêlos is a regular inflection of pêlo
relemmatize	pêlos	6305	pêlo	5327	pêlos lemmatizes to pêlo
inflected	seguida	6311	seguido	2346	seguida is a regular inflection of seguido
relemmatize	seguida	6311	seguido	2346	seguida lemmatizes to seguido
inflected	chuis	6314	chui	6488	chuis is a regular inflection of chui
relemmatize	executado	6318	executar	2215	executado lemmatizes to executar
diacritic	lê	6324	le	4579	both fold to 'le'
relemmatize	lê	6324	ler	506	lê lemmatizes to ler
relemmatize	civilizado	6335	civilizar	7930	civilizado lemmatizes to civilizar
relemmatize	derrotado	6343	derrotar	1737	derrotado lemmatizes to derrotar
inflected	nocturna	6357	nocturno	5393	nocturna is a regular inflection of nocturno
relemmatize	nocturna	6357	nocturno	5393	nocturna lemmatizes to nocturno
relemmatize	sofisticado	6358	sofisticar	6454	sofisticado lemmatizes to sofisticar
relemmatize	mandado	6360	mandar	254	mandado lemmatizes to mandar
inflected	tipa	6362	tipo	150	tipa is a regular inflection of tipo
inflected	fofa	6370	fofo	3320	fofa is a regular inflection of fofo
relemmatize	contado	6371	contar	161	contado lemmatizes to contar
relemmatize	agarrado	6376	agarrar	747	agarrado lemmatizes to agarrar
relemmatize	reservado	6379	reservar	3145	reservado lemmatizes to reservar
inflected	exausta	6388	exausto	4910	exausta is a regular inflection of exausto
inflected	inúmeras	6405	inúmero	8563	inúmeras is a regular inflection of inúmero
relemmatize	mora	6418	morar	1055	mora lemmatizes to morar
relemmatize	disfarçado	6422	disfarçar	3516	disfarçado lemmatizes to disfarçar
relemmatize	quinta	6440	quintar	1633	quinta lemmatizes to quintar
inflected	tácticas	6444	táctica	5094	tácticas is a regular inflection of táctica
relemmatize	tácticas	6444	táctica	5094	tácticas lemmatizes to táctica
relemmatize	guiado	6450	guiar	1296	guiado lemmatizes to guiar
relemmatize	salgado	6453	salgar	9219	salgado lemmatizes to salgar
diacritic	ola	6468	olá	132	both fold to 'ola'
relemmatize	pilha	6469	pilhar	4444	pilha lemmatizes to pilhar
inflected	ex-namorada	6480	ex-namorado	6657	ex-namorada is a regular inflection of ex-namorado
relemmatize	ex-namorada	6480	ex-namorado	6657	ex-namorada lemmatizes to ex-namorado
relemmatize	espalhado	6497	espalhar	1562	espalhado lemmatizes to espalhar
relemmatize	garantia	6510	garantir	792	garantia lemmatizes to garantir
relemmatize	dispensado	6541	dispensar	2515	dispensado lemmatizes to dispensar
diacritic	â	6578	à	45	both fold to 'a'
inflected	descoberta	6579	descoberto	2891	descoberta is a regular inflection of descoberto
relemmatize	descoberta	6579	descoberto	2891	descoberta lemmatizes to descoberto
inflected	copa	6582	copo	1020	copa is a regular inflection of copo
inflected	elfos	6589	elfo	7803	elfos is a regular inflection of elfo
relemmatize	fodam	6596	foder	1109	fodam lemmatizes to foder
relemmatize	parasita	6599	parasitar	6417	parasita lemmatizes to parasitar
inflected	infectados	6603	infectado	5398	infectados is a regular inflection of infectado
relemmatize	infectados	6603	infectado	5398	infectados lemmatizes to infectado
relemmatize	deprimido	6608	deprimir	4633	deprimido lemmatizes to deprimir
relemmatize	envenenado	6614	envenenar	2905	envenenado lemmatizes to envenenar
relemmatize	veste	6620	vestir	559	veste lemmatizes to vestir
relemmatize	permitido	6622	permitir	650	permitido lemmatizes to permitir
inflected	lha	6627	lho	4437	lha is a regular inflection of lho
relemmatize	assinado	6629	assinar	897	assinado lemmatizes to assinar
relemmatize	multa	6643	multar	4025	multa lemmatizes to multar
relemmatize	dividido	6644	dividir	1579	dividido lemmatizes to dividir
inflected	electrónica	6646	electrónico	7951	electrónica is a regular inflection of electrónico
relemmatize	electrónica	6646	electrónico	7951	electrónica lemmatizes to electrónico
relemmatize	ameaçado	6647	ameaçar	848	ameaçado lemmatizes to ameaçar
inflected	tanga	6661	tango	6165	tanga is a regular inflection of tango
relemmatize	patrulha	6674	patrulhar	2371	patrulha lemmatizes to patrulhar
relemmatize	alterado	6713	alterar	1852	alterado lemmatizes to alterar
diacritic	säo	6715	são	5590	both fold to 'sao'
inflected	crítica	6728	crítico	2710	crítica is a regular inflection of crítico
relemmatize	crítica	6728	crítico	2710	crítica lemmatizes to crítico
inflected	característica	6758	característico	7695	característica is a regular inflection of característico
relemmatize	característica	6758	característico	7695	característica lemmatizes to característico
relemmatize	fita	6766	fitar	2312	fita lemmatizes to fitar
inflected	privada	6771	privado	2300	privada is a regular inflection of privado
relemmatize	privada	6771	privado	2300	privada lemmatizes to privado
diacritic	ca	6779	cá	189	both fold to 'ca'
inflected	ca	6779	co	7076	ca is a regular inflection of co
inflected	bocas	6791	boca	628	bocas is a regular inflection of boca
inflected	gangues	6805	gangue	4939	gangues is a regular inflection of gangue
relemmatize	gangues	6805	gangue	4939	gangues lemmatizes to gangue
inflected	cala	6830	calo	7910	cala is a regular inflection of calo
relemmatize	cala	6830	calar	416	cala lemmatizes to calar
relemmatize	almofada	6832	almofadar	4230	almofada lemmatizes to almofadar
diacritic	dó	6836	do	8	both fold to 'do'
relemmatize	chocado	6837	chocar	3495	chocado lemmatizes to chocar
relemmatize	reduzido	6839	reduzir	2350	reduzido lemmatizes to reduzir
relemmatize	jurado	6841	jurar	1649	jurado lemmatizes to jurar
relemmatize	ratazana	6845	ratazanar	6552	ratazana lemmatizes to ratazanar
relemmatize	cancelado	6850	cancelar	1598	cancelado lemmatizes to cancelar
inflected	direcções	6853	direcção	1145	direcções is a regular inflection of direcção
relemmatize	direcções	6853	direcção	1145	direcções lemmatizes to direcção
diacritic	àquilo	6859	aquilo	269	both fold to 'aquilo'
inflected	les	6876	le	4579	les is a regular inflection of le
inflected	vaga	6878	vago	3034	vaga is a regular inflection of vago
relemmatize	vaga	6878	vago	3034	vaga lemmatizes to vago
relemmatize	avisado	6899	avisar	625	avisado lemmatizes to avisar
relemmatize	infiltrado	6901	infiltrar	2829	infiltrado lemmatizes to infiltrar
relemmatize	mantido	6910	manter	255	mantido lemmatizes to manter
diacritic	lã	6912	lá	53	both fold to 'la'
inflected	manta	6917	manto	6526	manta is a regular inflection of manto
inflected	pesada	6962	pesado	2897	pesada is a regular inflection of pesado
relemmatize	pesada	6962	pesado	2897	pesada lemmatizes to pesado
relemmatize	flecha	6978	flechar	5033	flecha lemmatizes to flechar
relemmatize	assombrado	6980	assombrar	4686	assombrado lemmatizes to assombrar
diacritic	demônio	6990	demónio	1437	both fold to 'demonio'
relemmatize	recruta	6993	recrutar	2911	recruta lemmatizes to recrutar
relemmatize	tema	6996	temer	971	tema lemmatizes to temer
relemmatize	cunhado	6999	cunhar	4898	cunhado lemmatizes to cunhar
relemmatize	perseguido	7000	perseguir	1217	perseguido lemmatizes to perseguir
inflected	sela	7006	selo	3791	sela is a regular inflection of selo
inflected	honras	7008	honra	934	honras is a regular inflection of honra
inflected	trá-la	7031	trá-lo	5483	trá-la is a regular inflection of trá-lo
relemmatize	julgado	7043	julgar	702	julgado lemmatizes to julgar
relemmatize	virado	7058	virar	629	virado lemmatizes to virar
relemmatize	quebrado	7073	quebrar	1422	quebrado lemmatizes to quebrar
inflected	pô-los	7079	pô-lo	3302	pô-los is a regular inflection of pô-lo
relemmatize	vigiado	7097	vigiar	1357	vigiado lemmatizes to vigiar
relemmatize	avariado	7115	avariar	3357	avariado lemmatizes to avariar
inflected	cruzada	7132	cruzado	4886	cruzada is a regular inflection of cruzado
relemmatize	cruzada	7132	cruzado	4886	cruzada lemmatizes to cruzado
relemmatize	medalha	7134	medalhar	3489	medalha lemmatizes to medalhar
inflected	saca	7180	saco	982	saca is a regular inflection of saco
relemmatize	curado	7185	curar	1695	curado lemmatizes to curar
relemmatize	deixado	7187	deixar	59	deixado lemmatizes to deixar
inflected	banca	7192	banco	744	banca is a regular inflection of banco
diacritic	jà	7201	já	43	both fold to 'ja'
inflected	nata	7204	nato	5370	nata is a regular inflection of nato
relemmatize	nata	7204	nato	5370	nata lemmatizes to nato
inflected	gala	7208	galo	5228	gala is a regular inflection of galo
diacritic	hà	7211	ha	2839	both fold to 'ha'
inflected	usá-los	7213	usá-lo	3199	usá-los is a regular inflection of usá-lo
relemmatize	comprado	7216	comprar	332	comprado lemmatizes to comprar
relemmatize	aterrorizado	7228	aterrorizar	4802	aterrorizado lemmatizes to aterrorizar
relemmatize	arruinado	7245	arruinar	1850	arruinado lemmatizes to arruinar
relemmatize	garantido	7253	garantir	792	garantido lemmatizes to garantir
inflected	shots	7254	shot	8395	shots is a regular inflection of shot
relemmatize	combinado	7257	combinar	1278	combinado lemmatizes to combinar
relemmatize	eliminado	7271	eliminar	1735	eliminado lemmatizes to eliminar
relemmatize	aliviado	7292	aliviar	2979	aliviado lemmatizes to aliviar
relemmatize	manga	7317	mangar	4926	manga lemmatizes to mangar
inflected	escrita	7322	escrito	1308	escrita is a regular inflection of escrito
relemmatize	escrita	7322	escrito	1308	escrita lemmatizes to escrito
inflected	activos	7352	activo	4048	activos is a regular inflection of activo
relemmatize	activos	7352	activo	4048	activos lemmatizes to activo
inflected	correia	7382	correio	1910	correia is a regular inflection of correio
inflected	fracturas	7384	fractura	5998	fracturas is a regular inflection of fractura
relemmatize	fracturas	7384	fractura	5998	fracturas lemmatizes to fractura
diacritic	joia	7386	jóia	5537	both fold to 'joia'
inflected	larga	7393	largo	4039	larga is a regular inflection of largo
relemmatize	larga	7393	largar	493	larga lemmatizes to largar
relemmatize	fez	7401	fazer	16	fez lemmatizes to fazer
inflected	gira	7404	giro	1645	gira is a regular inflection of giro
relemmatize	gira	7404	girar	1907	gira lemmatizes to girar
inflected	alga	7412	algo	155	alga is a regular inflection of algo
relemmatize	selado	7418	selar	3825	selado lemmatizes to selar
relemmatize	fenda	7419	fender	5376	fenda lemmatizes to fender
diacritic	video	7435	vídeo	1136	both fold to 'video'
inflected	eléctricos	7444	eléctrico	5146	eléctricos is a regular inflection of eléctrico
relemmatize	eléctricos	7444	eléctrico	5146	eléctricos lemmatizes to eléctrico
relemmatize	castigado	7449	castigar	2878	castigado lemmatizes to castigar
inflected	mágica	7454	mágico	1553	mágica is a regular inflection of mágico
relemmatize	mágica	7454	mágico	1553	mágica lemmatizes to mágico
inflected	bata	7456	bato	7146	bata is a regular inflection of bato
relemmatize	bata	7456	bater	427	bata lemmatizes to bater
relemmatize	qualificado	7466	qualificar	5143	qualificado lemmatizes to qualificar
inflected	muda	7470	mudo	4771	muda is a regular inflection of mudo
relemmatize	muda	7470	mudar	248	muda lemmatizes to mudar
inflected	gangs	7485	gang	4705	gangs is a regular inflection of gang
relemmatize	gangs	7485	gang	4705	gangs lemmatizes to gang
inflected	dróides	7490	dróide	9255	dróides is a regular inflection of dróide
inflected	câmeras	7499	câmera	4609	câmeras is a regular inflection of câmera
relemmatize	câmeras	7499	câmera	4609	câmeras lemmatizes to câmera
inflected	infectada	7507	infectado	5398	infectada is a regular inflection of infectado
relemmatize	infectada	7507	infectado	5398	infectada lemmatizes to infectado
inflected	demônios	7517	demônio	6990	demônios is a regular inflection of demônio
relemmatize	demônios	7517	demônio	6990	demônios lemmatizes to demônio
inflected	louros	7519	louro	7089	louros is a regular inflection of louro
relemmatize	descansado	7552	descansar	938	descansado lemmatizes to descansar
relemmatize	localizado	7560	localizar	1302	localizado lemmatizes to localizar
relemmatize	inchado	7563	inchar	5794	inchado lemmatizes to inchar
inflected	aliens	7565	alien	7775	aliens is a regular inflection of alien
inflected	fodida	7575	fodido	3838	fodida is a regular inflection of fodido
relemmatize	fodida	7575	foder	1109	fodida lemmatizes to foder
inflected	metralhadora	7592	metralhador	6594	metralhadora is a regular inflection of metralhador
relemmatize	metralhadora	7592	metralhador	6594	metralhadora lemmatizes to metralhador
relemmatize	afectado	7594	afectar	5108	afectado lemmatizes to afectar
relemmatize	alvejado	7604	alvejar	2237	alvejado lemmatizes to alvejar
inflected	boys	7612	boy	4807	boys is a regular inflection of boy
relemmatize	detectado	7630	detectar	5205	detectado lemmatizes to detectar
inflected	espectáculos	7639	espectáculo	1323	espectáculos is a regular inflection of espectáculo
relemmatize	espectáculos	7639	espectáculo	1323	espectáculos lemmatizes to espectáculo
relemmatize	planeado	7641	planear	920	planeado lemmatizes to planear
relemmatize	trocado	7643	trocar	1090	trocado lemmatizes to trocar
diacritic	pa	7644	pá	1008	both fold to 'pa'
inflected	pa	7644	po	5249	pa is a regular inflection of po
relemmatize	capturado	7654	capturar	1891	capturado lemmatizes to capturar
inflected	directos	7658	directo	2028	directos is a regular inflection of directo
relemmatize	directos	7658	directo	2028	directos lemmatizes to directo
diacritic	entäo	7671	então	67	both fold to 'entao'
relemmatize	pegado	7677	pegar	443	pegado lemmatizes to pegar
diacritic	fôr	7705	for	2036	both fold to 'for'
relemmatize	tremendo	7707	tremer	2654	tremendo lemmatizes to tremer
relemmatize	descontrolado	7719	descontrolar	4508	descontrolado lemmatizes to descontrolar
inflected	robots	7720	robot	4937	robots is a regular inflection of robot
relemmatize	robots	7720	robot	4937	robots lemmatizes to robot
inflected	fêmea	7724	fêmeo	5062	fêmea is a regular inflection of fêmeo
relemmatize	fêmea	7724	fêmeo	5062	fêmea lemmatizes to fêmeo
diacritic	ra	7728	rã	6675	both fold to 'ra'
inflected	ra	7728	ro	9720	ra is a regular inflection of ro
relemmatize	destinado	7730	destinar	3214	destinado lemmatizes to destinar
relemmatize	colorido	7733	colorir	8461	colorido lemmatizes to colorir
diacritic	voçê	7744	voce	2227	both fold to 'voce'
relemmatize	fode	7748	foder	1109	fode lemmatizes to foder
relemmatize	distraído	7749	distrair	2319	distraído lemmatizes to distrair
inflected	rena	7792	reno	6834	rena is a regular inflection of reno
relemmatize	adiantado	7821	adiantar	2542	adiantado lemmatizes to adiantar
inflected	metanfetaminas	7822	metanfetamina	9550	metanfetaminas is a regular inflection of metanfetamina
inflected	tirada	7838	tirado	4860	tirada is a regular inflection of tirado
relemmatize	tirada	7838	tirado	4860	tirada lemmatizes to tirado
inflected	fresca	7840	fresco	1785	fresca is a regular inflection of fresco
relemmatize	fresca	7840	fresco	1785	fresca lemmatizes to fresco
relemmatize	sossegado	7848	sossegar	4787	sossegado lemmatizes to sossegar
inflected	amora	7849	amor	289	amora is a regular inflection of amor
relemmatize	bloqueado	7869	bloquear	1974	bloqueado lemmatizes to bloquear
relemmatize	enfiado	7878	enfiar	1597	enfiado lemmatizes to enfiar
relemmatize	mimado	7884	mimar	6423	mimado lemmatizes to mimar
inflected	fodidos	7895	fodido	3838	fodidos is a regular inflection of fodido
relemmatize	fodidos	7895	foder	1109	fodidos lemmatizes to foder
inflected	idéias	7904	idéia	2223	idéias is a regular inflection of idéia
relemmatize	idéias	7904	idéia	2223	idéias lemmatizes to idéia
relemmatize	assado	7907	assar	4659	assado lemmatizes to assar
relemmatize	equipado	7916	equipar	6730	equipado lemmatizes to equipar
relemmatize	subido	7927	subir	604	subido lemmatizes to subir
relemmatize	realizado	7928	realizar	2063	realizado lemmatizes to realizar
relemmatize	montado	7932	montar	1382	montado lemmatizes to montar
relemmatize	rota	7946	rotar	2526	rota lemmatizes to rotar
diacritic	alí	7954	ali	251	both fold to 'ali'
relemmatize	falido	7957	falir	5180	falido lemmatizes to falir
inflected	vs	7958	v	2635	vs is a regular inflection of v
inflected	júlia	7962	júlio	8626	júlia is a regular inflection of júlio
diacritic	des	7965	dês	2851	both fold to 'des'
relemmatize	desarmado	7967	desarmar	3842	desarmado lemmatizes to desarmar
relemmatize	briga	7969	brigar	2089	briga lemmatizes to brigar
relemmatize	mantém	7970	manter	255	mantém lemmatizes to manter
relemmatize	assaltado	7976	assaltar	2591	assaltado lemmatizes to assaltar
diacritic	obvio	7987	óbvio	1365	both fold to 'obvio'
relemmatize	lavado	8004	lavar	1156	lavado lemmatizes to lavar
diacritic	estäo	8009	estao	6782	both fold to 'estao'
relemmatize	rejeitado	8010	rejeitar	2928	rejeitado lemmatizes to rejeitar
relemmatize	esgotado	8014	esgotar	3292	esgotado lemmatizes to esgotar
relemmatize	melhora	8015	melhorar	535	melhora lemmatizes to melhorar
diacritic	qué	8020	que	3	both fold to 'que'
relemmatize	codificado	8026	codificar	7986	codificado lemmatizes to codificar
relemmatize	lança	8042	lançar	1124	lança lemmatizes to lançar
diacritic	miudo	8058	miúdo	250	both fold to 'miudo'
inflected	morada	8059	morado	1697	morada is a regular inflection of morado
relemmatize	morada	8059	morado	1697	morada lemmatizes to morado
relemmatize	acostumado	8061	acostumar	3847	acostumado lemmatizes to acostumar
diacritic	polo	8074	pólo	6089	both fold to 'polo'
diacritic	caca	8078	caça	1622	both fold to 'caca'
inflected	caca	8078	caco	9967	caca is a regular inflection of caco
inflected	tomada	8080	tomado	4171	tomada is a regular inflection of tomado
relemmatize	tomada	8080	tomado	4171	tomada lemmatizes to tomado
relemmatize	decidido	8093	decidir	444	decidido lemmatizes to decidir
inflected	usá-las	8106	usá-lo	3199	usá-las is a regular inflection of usá-lo
inflected	registros	8110	registro	8087	registros is a regular inflection of registro
relemmatize	registros	8110	registro	8087	registros lemmatizes to registro
relemmatize	colado	8115	colar	1255	colado lemmatizes to colar
relemmatize	possuído	8123	possuir	1866	possuído lemmatizes to possuir
diacritic	gênio	8128	génio	1672	both fold to 'genio'
relemmatize	bochecha	8131	bochechar	8787	bochecha lemmatizes to bochechar
inflected	miuda	8140	miudo	8058	miuda is a regular inflection of miudo
diacritic	a	8149	à	45	both fold to 'a'
relemmatize	a	8149	o	1	a lemmatizes to o
relemmatize	torturado	8157	torturar	2482	torturado lemmatizes to torturar
relemmatize	abalado	8159	abalar	5502	abalado lemmatizes to abalar
inflected	activada	8170	activado	5668	activada is a regular inflection of activado
relemmatize	activada	8170	activado	5668	activada lemmatizes to activado
relemmatize	iniciado	8172	iniciar	1415	iniciado lemmatizes to iniciar
relemmatize	levantado	8184	levantar	479	levantado lemmatizes to levantar
inflected	fodas	8193	foda	2610	fodas is a regular inflection of foda
relemmatize	fodas	8193	foda	2610	fodas lemmatizes to foda
relemmatize	revelado	8204	revelar	1388	revelado lemmatizes to revelar
inflected	cortada	8207	cortado	4235	cortada is a regular inflection of cortado
relemmatize	cortada	8207	cortado	4235	cortada lemmatizes to cortado
inflected	topa	8223	topo	1956	topa is a regular inflection of topo
relemmatize	punido	8230	punir	4056	punido lemmatizes to punir
inflected	fá-la	8231	fá-lo	1998	fá-la is a regular inflection of fá-lo
diacritic	voçês	8235	voces	6259	both fold to 'voces'
inflected	voçês	8235	voçê	7744	voçês is a regular inflection of voçê
relemmatize	fodeste	8262	foder	1109	fodeste lemmatizes to foder
inflected	actuais	8272	actual	3384	actuais is a regular inflection of actual
relemmatize	actuais	8272	actual	3384	actuais lemmatizes to actual
relemmatize	escalado	8282	escalar	4614	escalado lemmatizes to escalar
inflected	macia	8294	macio	6637	macia is a regular inflection of macio
inflected	proposta	8295	proposto	2050	proposta is a regular inflection of proposto
relemmatize	proposta	8295	proposto	2050	proposta lemmatizes to proposto
inflected	dá-ma	8307	dá-mo	6217	dá-ma is a regular inflection of dá-mo
relemmatize	tocado	8317	tocar	385	tocado lemmatizes to tocar
inflected	otários	8320	otário	4256	otários is a regular inflection of otário
relemmatize	otários	8320	otário	4256	otários lemmatizes to otário
relemmatize	substituído	8322	substituir	1694	substituído lemmatizes to substituir
inflected	torrada	8323	torrado	8662	torrada is a regular inflection of torrado
relemmatize	torrada	8323	torrado	8662	torrada lemmatizes to torrado
inflected	papa	8325	papo	6824	papa is a regular inflection of papo
relemmatize	papa	8325	papar	558	papa lemmatizes to papar
inflected	direita	8330	direito	366	direita is a regular inflection of direito
relemmatize	direita	8330	direito	366	direita lemmatizes to direito
relemmatize	alinhado	8337	alinhar	2639	alinhado lemmatizes to alinhar
relemmatize	enrolado	8345	enrolar	3529	enrolado lemmatizes to enrolar
diacritic	espirito	8349	espírito	1042	both fold to 'espirito'
relemmatize	indicado	8352	indicar	1488	indicado lemmatizes to indicar
relemmatize	comparado	8356	comparar	2154	comparado lemmatizes to comparar
relemmatize	fiado	8357	fiar	8844	fiado lemmatizes to fiar
relemmatize	precipitado	8366	precipitar	5059	precipitado lemmatizes to precipitar
relemmatize	acompanhado	8367	acompanhar	1089	acompanhado lemmatizes to acompanhar
relemmatize	desiludido	8371	desiludir	2927	desiludido lemmatizes to desiludir
diacritic	mantem	8373	mantém	7970	both fold to 'mantem'
inflected	hobbits	8382	hobbit	8156	hobbits is a regular inflection of hobbit
inflected	viu-a	8384	viu-o	5667	viu-a is a regular inflection of viu-o
relemmatize	viu-a	8384	viu-o	5667	viu-a lemmatizes to viu-o
relemmatize	blindado	8385	blindar	8509	blindado lemmatizes to blindar
